time,relative_time,yaw_angle,target_yaw,error,gyro_rate,motor_cmd,controller_active
1751144605.3131247,2.884195566177368,180.02349281434098,0.0,-180.02349281434098,-9.613465648854955,CCW,True
1751144605.3406668,2.9117376804351807,179.71255047829493,0.0,-179.71255047829493,-8.88064122137404,CCW,True
1751144605.3681936,2.9392645359039307,179.3960065100724,0.0,-179.3960065100724,-11.987511450381673,CCW,True
1751144605.395694,2.9667649269104004,179.04899857647032,0.0,-179.04899857647032,-13.140183206106864,CCW,True
1751144605.4242551,2.995326042175293,178.67716463500338,0.0,-178.67716463500338,-14.063847328244266,CCW,True
1751144605.4540281,3.025099039077759,178.25546585257757,0.0,-178.25546585257757,-15.308122137404572,CCW,True
1751144605.4838169,3.0548877716064453,177.7777165721576,0.0,-177.7777165721576,-16.407358778625948,CCW,True
1751144605.5135612,3.084632158279419,177.2680255017247,0.0,-177.2680255017247,-17.155450381679383,CCW,True
1751144605.541066,3.1121368408203125,176.74037379848713,0.0,-176.74037379848713,-18.20125190839694,CCW,True
1751144605.5687659,3.1398367881774902,176.216309269869,0.0,-176.216309269869,-19.36155725190839,CCW,True
1751144605.5963023,3.1673731803894043,175.66382784749564,0.0,-175.66382784749564,-20.315755725190837,CCW,True
1751144605.62475,3.1958208084106445,175.07922404584116,0.0,-175.07922404584116,-21.54476335877862,CCW,True
1751144605.6544812,3.2255520820617676,174.44801702487047,0.0,-174.44801702487047,-20.750870229007628,CCW,True
1751144605.6842158,3.255286693572998,173.75420137896097,0.0,-173.75420137896097,-23.8882748091603,CCW,True
1751144605.714,3.2850708961486816,173.03620421419103,0.0,-173.03620421419103,-24.865374045801524,CCW,True
1751144605.7415175,3.3125884532928467,172.27756582568105,0.0,-172.27756582568105,-25.804305343511444,CCW,True
1751144605.7690258,3.3400967121124268,171.6028600745095,0.0,-171.6028600745095,-26.77377099236641,CCW,True
1751144605.796536,3.3676068782806396,170.8487671226621,0.0,-170.8487671226621,-27.796671755725185,CCW,True
1751144605.8248456,3.39591646194458,170.06685595972516,0.0,-170.06685595972516,-29.193618320610685,CCW,True
1751144605.8547559,3.4258267879486084,169.23134409344684,0.0,-169.23134409344684,-30.010412213740455,CCW,True
1751144605.8845549,3.4556257724761963,168.32107394325493,0.0,-168.32107394325493,-31.193618320610685,CCW,True
1751144605.9142842,3.4853551387786865,167.3759308978295,0.0,-167.3759308978295,-32.04858015267175,CCW,True
1751144605.942308,3.513378858566284,166.39768188239267,0.0,-166.39768188239267,-33.422625954198466,CCW,True
1751144605.9698503,3.540921211242676,165.4497458237149,0.0,-165.4497458237149,-32.49896183206106,CCW,True
1751144605.9973624,3.5684332847595215,164.4866714952778,0.0,-164.4866714952778,-35.27758778625953,CCW,True
1751144606.0248983,3.5959692001342773,163.5012998016084,0.0,-163.5012998016084,-36.430259541984725,CCW,True
1751144606.0524063,3.6234772205352783,162.4837172863068,0.0,-162.4837172863068,-37.54476335877862,CCW,True
1751144606.0799484,3.651019334793091,161.43782398027352,0.0,-161.43782398027352,-38.34629007633587,CCW,True
1751144606.1074622,3.6785330772399902,160.36307287316683,0.0,-160.36307287316683,-39.376824427480905,CCW,True
1751144606.136085,3.70715594291687,159.25892468344742,0.0,-159.25892468344742,-40.560030534351135,CCW,True
1751144606.165838,3.7369089126586914,158.08588816737432,0.0,-158.08588816737432,-41.300488549618315,CCW,True
1751144606.1955998,3.7666707038879395,156.83484810989353,0.0,-156.83484810989353,-42.75850381679388,CCW,True
1751144606.2253387,3.7964096069335938,155.55187913141208,0.0,-155.55187913141208,-43.70506870229007,CCW,True
1751144606.2533774,3.824448347091675,154.23073790433054,0.0,-154.23073790433054,-44.71270229007633,CCW,True
1751144606.2808912,3.851962089538574,152.9659766689988,0.0,-152.9659766689988,-45.85774045801526,CCW,True
1751144606.308408,3.879478931427002,151.69077258120268,0.0,-151.69077258120268,-46.84247328244274,CCW,True
1751144606.3359551,3.9070260524749756,150.38782118132673,0.0,-150.38782118132673,-47.7737709923664,CCW,True
1751144606.3634703,3.9345412254333496,149.05445577765633,0.0,-149.05445577765633,-48.84247328244274,CCW,True
1751144606.3909764,3.9620473384857178,147.6873507641002,0.0,-147.6873507641002,-47.97987786259541,CCW,True
1751144606.418646,3.9897170066833496,146.29600989796765,0.0,-146.29600989796765,-50.796671755725185,CCW,True
1751144606.4470873,4.018158197402954,144.87997129038487,0.0,-144.87997129038487,-51.82720610687022,CCW,True
1751144606.476805,4.047875881195068,143.38540629068072,0.0,-143.38540629068072,-52.94934351145037,CCW,True
1751144606.5065382,4.077609062194824,141.7938922455478,0.0,-141.7938922455478,-54.17835114503816,CCW,True
1751144606.536275,4.107345819473267,140.16876352022655,0.0,-140.16876352022655,-55.185984732824416,CCW,True
1751144606.566035,4.137105941772461,138.50530777693191,0.0,-138.50530777693191,-56.28522137404579,CCW,True
1751144606.595827,4.166898012161255,136.80838678939503,0.0,-136.80838678939503,-57.560030534351135,CCW,True
1751144606.625559,4.196630001068115,135.08474009057434,0.0,-135.08474009057434,-58.34629007633587,CCW,True
1751144606.6547923,4.225863218307495,133.330044349496,0.0,-133.330044349496,-59.46842748091602,CCW,True
1751144606.6823,4.253371000289917,131.579342403121,0.0,-131.579342403121,-60.613465648854955,CCW,True
1751144606.709977,4.281047821044922,129.89056516460278,0.0,-129.89056516460278,-61.45316030534351,CCW,True
1751144606.7374895,4.308560371398926,128.17240573282493,0.0,-128.17240573282493,-62.45316030534351,CCW,True
1751144606.766909,4.337979793548584,126.43501261729352,0.0,-126.43501261729352,-63.32338931297709,CCW,True
1751144606.7966478,4.367718696594238,124.55178235846107,0.0,-124.55178235846107,-64.4760610687023,CCW,True
1751144606.8263843,4.397455215454102,122.61637559997794,0.0,-122.61637559997794,-63.659267175572516,CCW,True
1751144606.85574,4.42681097984314,120.64302972301486,0.0,-120.64302972301486,-66.83483969465648,CCW,True
1751144606.8832495,4.454320430755615,118.6664622047515,0.0,-118.6664622047515,-67.75087022900763,CCW,True
1751144606.9107563,4.481827259063721,116.78311071106893,0.0,-116.78311071106893,-68.88064122137405,CCW,True
1751144606.93826,4.509330987930298,114.87492317949575,0.0,-114.87492317949575,-69.86537404580153,CCW,True
1751144606.9674687,4.53853964805603,112.94150700063228,0.0,-112.94150700063228,-70.95697709923664,CCW,True
1751144606.9974337,4.568504571914673,110.84837586645348,0.0,-110.84837586645348,-71.99514503816793,CCW,True
1751144607.0272207,4.598291635513306,108.67763118604881,0.0,-108.67763118604881,-73.10964885496183,CCW,True
1751144607.056971,4.628041982650757,106.48856043953236,0.0,-106.48856043953236,-74.09438167938931,CCW,True
1751144607.0867429,4.657813787460327,104.26671786710902,0.0,-104.26671786710902,-75.15545038167939,CCW,True
1751144607.1165512,4.6876220703125,102.0079579635798,0.0,-102.0079579635798,-76.02567938931297,CCW,True
1751144607.1463857,4.717456579208374,99.72056881366645,0.0,-99.72056881366645,-77.18598473282442,CCW,True
1751144607.174451,4.7455220222473145,97.3862533175275,0.0,-97.3862533175275,-78.40735877862595,CCW,True
1751144607.2020013,4.773072242736816,95.18036035831861,0.0,-95.18036035831861,-77.27758778625955,CCW,True
1751144607.2295175,4.800588369369507,92.9799746893165,0.0,-92.9799746893165,-80.21651908396946,CCW,True
1751144607.2570388,4.8281097412109375,90.75716590063111,0.0,-90.75716590063111,-81.2088854961832,CCW,True
1751144607.2846851,4.855756044387817,88.49419117815471,0.0,-88.49419117815471,-82.38445801526717,CCW,True
1751144607.3121996,4.883270502090454,86.2177379802969,0.0,-86.2177379802969,-83.38445801526717,CCW,True
1751144607.3397057,4.910776615142822,83.90688717312881,0.0,-83.90688717312881,-84.39972519083969,CCW,True
1751144607.368156,4.939226865768433,81.57523958519974,0.0,-81.57523958519974,-85.33102290076336,CCW,True
1751144607.3979278,4.968998670578003,79.12267163455063,0.0,-79.12267163455063,-86.59056488549618,CCW,True
1751144607.4276571,4.998728036880493,76.53926990843215,0.0,-76.53926990843215,-87.5294961832061,CCW,True
1751144607.4574175,5.028488397598267,73.9227819225955,0.0,-73.9227819225955,-88.46842748091603,CCW,True
1751144607.487193,5.0582640171051025,71.26964412893079,0.0,-71.26964412893079,-89.51422900763359,CCW,True
1751144607.5169399,5.088010787963867,68.58544426676367,0.0,-68.58544426676367,-90.70506870229008,CCW,True
1751144607.5467367,5.117807626724243,65.87112957023332,0.0,-65.87112957023332,-91.61346564885496,CCW,True
1751144607.5761583,5.147229194641113,63.10244253192089,0.0,-63.10244253192089,-92.63636641221373,CCW,True
1751144607.6037073,5.17477822303772,60.36803561313312,0.0,-60.36803561313312,-93.66690076335878,CCW,True
1751144607.6312265,5.2022974491119385,57.77710500309517,0.0,-57.77710500309517,-94.79667175572519,CCW,True
1751144607.6587405,5.229811429977417,55.15765456305237,0.0,-55.15765456305237,-95.72796946564885,CCW,True
1751144607.688032,5.259102821350098,52.512256677613316,0.0,-52.512256677613316,-96.75850381679389,CCW,True
1751144607.7177644,5.288835287094116,49.66454869798153,0.0,-49.66454869798153,-97.7203358778626,CCW,True
1751144607.747502,5.318572998046875,46.74076082041095,0.0,-46.74076082041095,-98.91117557251908,CCW,True
1751144607.7768893,5.3479602336883545,43.783739297612335,0.0,-43.783739297612335,-99.85774045801527,CCW,True
1751144607.8044045,5.3754754066467285,40.8364540597613,0.0,-40.8364540597613,-100.74323664122137,CCW,True
1751144607.8319376,5.403008460998535,38.04613149927622,0.0,-38.04613149927622,-101.81957251908396,CCW,True
1751144607.8595605,5.430631399154663,35.22151518794812,0.0,-35.22151518794812,-102.65163358778626,CCW,True
1751144607.8889964,5.460067272186279,32.37172833891165,0.0,-32.37172833891165,-103.6821679389313,CCW,True
1751144607.9187536,5.489824533462524,29.30204090984027,0.0,-29.30204090984027,-104.85010687022901,CCW,True
1751144607.9485521,5.519623041152954,26.164244802169534,0.0,-26.164244802169534,-105.7203358778626,CW,True
1751144607.9779072,5.548978090286255,23.03213412242659,0.0,-23.03213412242659,-104.46842748091603,CW,True
1751144608.0054097,5.5764806270599365,19.98935171279502,0.0,-19.98935171279502,-103.24705343511451,CW,True
1751144608.032923,5.603993892669678,17.176385438948504,0.0,-17.176385438948504,-101.90354198473283,CW,True
1751144608.0604305,5.6315014362335205,14.404616173839159,0.0,-14.404616173839159,-100.19361832061068,CW,True
1751144608.0896132,5.660684108734131,11.668067613165205,0.0,-11.668067613165205,-100.644,CW,True
1751144608.1194637,5.690534591674805,8.806682679380486,0.0,-8.806682679380486,-97.20125190839694,CW,True
1751144608.149402,5.720472812652588,5.916154977056223,0.0,-5.916154977056223,-95.78140458015267,CW,True
1751144608.178947,5.750017881393433,3.0894566758937945,0.0,-3.0894566758937945,-94.16308396946565,CW,True
1751144608.2064705,5.777541399002075,0.32692908008985677,0.0,-0.32692908008985677,-92.76613740458015,STOP,True
1751144608.2340071,5.805078029632568,-2.2206608019963947,0.0,2.2206608019963947,-92.5676641221374,CW,True
1751144608.2615142,5.832585096359253,-4.75062566661075,0.0,4.75062566661075,-91.33102290076336,CW,True
1751144608.2907228,5.861793756484985,-7.234968718768669,0.0,7.234968718768669,-89.81957251908396,CW,True
